廉颇,墨子,1,阵营2 胜利,"元歌,诸葛亮,公孙离,镜,墨子","曹操,海月,蚩奼,裴擒虎,廉颇"
廉颇,墨子,2,阵营1 胜利,"影,甄姬,孙尚香,橘右京,墨子","元歌,嫦娥,百里守约,哪吒,廉颇"
廉颇,墨子,3,阵营1 胜利,"元歌,小乔,敖隐,阿古朵,廉颇","曹操,沈梦溪,孙权,澜,墨子"
廉颇,墨子,4,阵营2 胜利,"夏洛特,西施,蚩奼,橘右京,廉颇","曹操,甄姬,戈娅,暃,墨子"
廉颇,墨子,5,阵营1 胜利,"蚩奼,武则天,虞姬,铠,廉颇","芈月,杨玉环,李信,阿古朵,墨子"
廉颇,墨子,6,阵营2 胜利,"关羽,弈星,伽罗,裴擒虎,墨子","蚩奼,女娲,元流之子(射手),影,廉颇"
廉颇,墨子,7,阵营1 胜利,"白起,甄姬,敖隐,裴擒虎,墨子","夏洛特,不知火舞,虞姬,暃,廉颇"
廉颇,墨子,8,阵营1 胜利,"哪吒,嫦娥,公孙离,宫本武藏,墨子","元歌,女娲,元流之子(射手),赵云,廉颇"
廉颇,墨子,9,阵营1 胜利,"关羽,小乔,百里守约,阿古朵,墨子","曹操,甄姬,戈娅,元流之子(刺客),廉颇"
廉颇,墨子,10,阵营1 胜利,"影,甄姬,李信,裴擒虎,墨子","杨戬,小乔,狄仁杰,梦奇,廉颇"
廉颇,墨子,11,阵营1 胜利,"吕布,姜子牙,元流之子(射手),诸葛亮,廉颇","猪八戒,沈梦溪,戈娅,雅典娜,墨子"
廉颇,墨子,12,阵营2 胜利,"夏洛特,沈梦溪,百里守约,阿古朵,墨子","兰陵王,周瑜,元流之子(射手),韩信,廉颇"
廉颇,墨子,13,阵营1 胜利,"曹操,海诺,虞姬,李白,墨子","花木兰,不知火舞,蚩奼,百里玄策,廉颇"
廉颇,墨子,14,阵营1 胜利,"曹操,上官婉儿,元流之子(射手),孙悟空,墨子","吕布,高渐离,戈娅,阿古朵,廉颇"
廉颇,墨子,15,阵营2 胜利,"司空震,杨玉环,戈娅,百里玄策,墨子","曹操,嫦娥,元流之子(射手),赵云,廉颇"
